# Year Built,Floor Area,Energy Star Score,Site EUI
1.943000000000000000e+03,4.726904639999999745e+03,5.200000000000000000e+01,3.113581317000000013e+02
1.954000000000000000e+03,8.553579209999999875e+03,6.000000000000000000e+01,2.425880479000000207e+02
2.011000000000000000e+03,7.426015499000000091e+03,3.400000000000000000e+01,1.482657769999999857e+02
1.909000000000000000e+03,9.698144169999999576e+03,1.000000000000000000e+02,6.719278830000000369e+01
1.920000000000000000e+03,2.531142235000000073e+04,7.300000000000000000e+01,1.586759272999999837e+02
1.968000000000000000e+03,1.961739747999999963e+04,3.700000000000000000e+01,2.372252431999999942e+02
2.016000000000000000e+03,2.625141490400000112e+04,8.000000000000000000e+01,1.217672126000000077e+02
1.964000000000000000e+03,1.741633960400000069e+04,8.000000000000000000e+01,2.015783648999999969e+02
1.968000000000000000e+03,1.961739747999999963e+04,4.300000000000000000e+01,2.268150929000000247e+02
1.941000000000000000e+03,1.137671557399999983e+04,9.300000000000000000e+01,1.687706184999999834e+02
2.011000000000000000e+03,7.435398702000000412e+03,9.100000000000000000e+01,9.274497539999998708e+01
1.927000000000000000e+03,1.102628545800000029e+04,9.000000000000000000e+01,1.665624047999999959e+02
1.965000000000000000e+03,2.858829696599999806e+04,1.000000000000000000e+02,5.236621060000000227e+01
1.965000000000000000e+03,3.617196885599999951e+04,1.500000000000000000e+01,3.334402686999999901e+02
1.948000000000000000e+03,9.115828165999999328e+03,8.500000000000000000e+01,1.157734897000000132e+02
2.014000000000000000e+03,1.264790732299999945e+04,8.100000000000000000e+01,1.085179303999999973e+02
2.014000000000000000e+03,1.000844018999999935e+04,2.400000000000000000e+01,2.201904517999999769e+02
1.962000000000000000e+03,5.074677730200000224e+04,7.500000000000000000e+01,2.362788658999999996e+02
1.938000000000000000e+03,4.970310500000000320e+04,5.800000000000000000e+01,2.192440744999999822e+02
1.977000000000000000e+03,2.434058599999999933e+04,1.000000000000000000e+02,1.198744579999999971e+01
2.007000000000000000e+03,5.648363045499999862e+04,4.600000000000000000e+01,1.943228056000000095e+02
1.928000000000000000e+03,7.119528502000000117e+03,1.000000000000000000e+02,7.571018399999999815e+01
1.965000000000000000e+03,2.858829696599999806e+04,3.200000000000000000e+01,2.694020714000000112e+02
2.012000000000000000e+03,3.730213385099999869e+04,9.300000000000000000e+01,1.028396666000000010e+02
1.989000000000000000e+03,1.741838347000000067e+04,4.600000000000000000e+01,1.331237402000000145e+02
2.015000000000000000e+03,2.556030948699999863e+04,7.800000000000000000e+01,1.482657769999999857e+02
1.962000000000000000e+03,7.254237852000000203e+03,8.500000000000000000e+01,1.839126552999999831e+02
1.990000000000000000e+03,1.860800638500000059e+04,7.300000000000000000e+01,1.375401675999999895e+02
1.908000000000000000e+03,8.151030510999999933e+03,9.900000000000000000e+01,1.457421042000000000e+02
2.007000000000000000e+03,2.678495683300000019e+04,8.400000000000000000e+01,9.779232100000000116e+01
1.936000000000000000e+03,4.713805317000000286e+03,9.800000000000000000e+01,1.151425715000000025e+02
1.936000000000000000e+03,4.713805317000000286e+03,7.800000000000000000e+01,2.044174967999999808e+02
1.937000000000000000e+03,6.540928617999999915e+03,8.500000000000000000e+01,2.447962615999999798e+02
1.991000000000000000e+03,7.796791371999999683e+03,1.800000000000000000e+01,2.239759609999999839e+02
1.979000000000000000e+03,3.331213580699999875e+04,8.600000000000000000e+01,1.381710857999999860e+02
1.942000000000000000e+03,4.645149999999999636e+03,5.200000000000000000e+01,2.586764620000000150e+02
1.915000000000000000e+03,6.881511016000000382e+03,8.600000000000000000e+01,1.675087820999999906e+02
1.937000000000000000e+03,5.855025768999999855e+03,8.700000000000000000e+01,2.223986654999999928e+02
1.959000000000000000e+03,6.038694999999999709e+03,1.500000000000000000e+01,3.110426725999999462e+02
1.937000000000000000e+03,7.187626400999999532e+03,8.100000000000000000e+01,1.343855766000000074e+02
1.972000000000000000e+03,5.622117948000000069e+03,6.000000000000000000e+00,4.943244096999999329e+02
1.979000000000000000e+03,1.431300779200000034e+04,9.800000000000000000e+01,1.280763946000000146e+02
1.966000000000000000e+03,6.555978903999999602e+03,9.700000000000000000e+01,8.769762980000000141e+01
1.969000000000000000e+03,9.186425155699999596e+04,6.300000000000000000e+01,1.914836736999999971e+02
