# Energy Star Score,Floor Area,Occupancy,Site EUI,Year Built
1.000000000000000000e+02,2.006704799999999977e+03,1.000000000000000000e+02,5.205075149999999695e+01,1.968000000000000000e+03
8.500000000000000000e+01,1.880356719999999996e+03,1.000000000000000000e+02,1.552058772000000033e+02,1.988000000000000000e+03
8.600000000000000000e+01,1.766411190500000157e+04,9.500000000000000000e+01,1.217672126000000077e+02,2.003000000000000000e+03
1.000000000000000000e+02,2.247416472999999769e+03,1.000000000000000000e+02,9.873869829999999581e+01,1.966000000000000000e+03
1.000000000000000000e+02,2.117816788000000088e+03,1.000000000000000000e+02,3.785509199999999908e+00,1.977000000000000000e+03
8.800000000000000000e+01,1.268014466399999947e+04,1.000000000000000000e+02,9.653048460000000830e+01,1.930000000000000000e+03
1.000000000000000000e+02,2.089016857999999957e+03,1.000000000000000000e+02,1.009469119999999975e+01,1.970000000000000000e+03
3.100000000000000000e+01,3.032539725999999973e+03,9.500000000000000000e+01,1.201899171000000024e+02,2.001000000000000000e+03
1.000000000000000000e+02,2.381661308000000190e+03,1.000000000000000000e+02,8.517395699999999792e+00,1.965000000000000000e+03
8.800000000000000000e+01,3.623217000000000098e+03,1.000000000000000000e+02,1.091488486000000080e+02,1.960000000000000000e+03
8.400000000000000000e+01,4.106498405999999704e+03,1.000000000000000000e+02,1.457421042000000000e+02,1.962000000000000000e+03
9.500000000000000000e+01,4.533201885000000402e+03,1.000000000000000000e+02,8.233482510000000332e+01,2.007000000000000000e+03
8.800000000000000000e+01,3.158701999999999771e+03,1.000000000000000000e+02,1.110416032000000115e+02,1.926000000000000000e+03
8.700000000000000000e+01,2.034018281999999999e+03,1.000000000000000000e+02,9.842323919999999760e+01,1.974000000000000000e+03
4.800000000000000000e+01,2.502063595999999961e+03,1.000000000000000000e+02,1.381710857999999860e+02,1.979000000000000000e+03
5.600000000000000000e+01,7.653627848999999514e+03,1.000000000000000000e+02,1.296536901000000057e+02,1.985000000000000000e+03
9.900000000000000000e+01,4.372015180000000328e+03,1.000000000000000000e+02,7.476380669999998929e+01,1.969000000000000000e+03
1.000000000000000000e+02,2.125713542999999845e+03,1.500000000000000000e+01,3.470050100000000270e+01,1.955000000000000000e+03
9.300000000000000000e+01,3.609281550000000152e+03,1.000000000000000000e+02,1.233445080999999988e+02,1.972000000000000000e+03
1.800000000000000000e+01,2.511632604999999785e+03,1.000000000000000000e+02,1.375401675999999895e+02,1.963000000000000000e+03
1.000000000000000000e+00,2.136025775999999951e+03,1.000000000000000000e+02,2.283923884000000157e+02,1.914000000000000000e+03
7.700000000000000000e+01,2.295818936000000122e+03,1.000000000000000000e+02,9.337589359999999772e+01,1.968000000000000000e+03
3.100000000000000000e+01,2.667802548000000115e+03,1.000000000000000000e+02,1.709788321999999994e+02,1.963000000000000000e+03
1.000000000000000000e+02,9.290299999999999272e+03,1.000000000000000000e+02,3.470050100000000270e+01,1.972000000000000000e+03
7.600000000000000000e+01,4.153878936000000067e+03,9.000000000000000000e+01,1.063097167000000098e+02,1.969000000000000000e+03
4.900000000000000000e+01,2.112892929000000095e+03,1.000000000000000000e+02,1.757107187000000010e+02,1.963000000000000000e+03
7.900000000000000000e+01,1.912686963999999989e+03,9.500000000000000000e+01,1.835971962000000133e+02,1.929000000000000000e+03
5.100000000000000000e+01,2.366889731000000211e+03,1.000000000000000000e+02,1.261836399999999969e+02,1.991000000000000000e+03
4.800000000000000000e+01,3.825002316000000064e+03,1.000000000000000000e+02,1.498430725000000052e+02,1.924000000000000000e+03
1.000000000000000000e+02,2.879992999999999938e+03,1.000000000000000000e+02,1.072560939999999974e+01,1.991000000000000000e+03
1.000000000000000000e+00,8.750905182000000423e+03,1.000000000000000000e+02,2.283923884000000157e+02,1.986000000000000000e+03
9.300000000000000000e+01,2.220939117999999780e+03,9.500000000000000000e+01,1.198744580000000042e+02,1.987000000000000000e+03
7.600000000000000000e+01,3.467511571999999887e+03,9.500000000000000000e+01,1.583604682000000139e+02,1.986000000000000000e+03
9.800000000000000000e+01,8.983720100000000457e+03,1.000000000000000000e+02,1.223981307999999899e+02,1.963000000000000000e+03
1.000000000000000000e+00,2.506151327999999921e+03,1.000000000000000000e+02,2.283923884000000157e+02,1.971000000000000000e+03
5.300000000000000000e+01,1.429740008800000032e+04,1.000000000000000000e+02,1.403792995000000019e+02,1.995000000000000000e+03
8.900000000000000000e+01,5.606881855999999971e+03,9.500000000000000000e+01,1.006314528999999993e+02,1.983000000000000000e+03
1.000000000000000000e+00,6.626027766000000156e+03,1.000000000000000000e+02,2.283923884000000157e+02,1.969000000000000000e+03
2.600000000000000000e+01,2.428112807999999859e+03,9.000000000000000000e+01,1.624614364999999907e+02,1.968000000000000000e+03
8.200000000000000000e+01,6.845093039999999746e+03,1.000000000000000000e+02,1.296536901000000057e+02,1.964000000000000000e+03
