# Year Built,Floor Area,Energy Star Score,Site EUI
1.981000000000000000e+03,1.608708347999999933e+04,7.100000000000000000e+01,1.817044415999999956e+02
1.955000000000000000e+03,4.645149999999999636e+03,8.100000000000000000e+01,1.817044415999999956e+02
2.014000000000000000e+03,4.833557284000000072e+04,5.500000000000000000e+01,1.804426052000000027e+02
1.963000000000000000e+03,1.374964400000000023e+04,6.300000000000000000e+01,1.798116870000000063e+02
1.926000000000000000e+03,1.114836000000000058e+04,1.400000000000000000e+01,1.788653097000000116e+02
2.005000000000000000e+03,1.556515442599999915e+04,7.400000000000000000e+01,1.779189323999999885e+02
1.903000000000000000e+03,6.270302179000000251e+03,3.000000000000000000e+01,1.772880141999999921e+02
2.003000000000000000e+03,2.894318642600000021e+04,6.500000000000000000e+01,1.769725550999999939e+02
1.932000000000000000e+03,1.393545000000000073e+04,9.800000000000000000e+01,1.760261777999999993e+02
1.964000000000000000e+03,1.110222437019999925e+05,8.200000000000000000e+01,1.753952596000000028e+02
1.978000000000000000e+03,2.649129045000000042e+04,8.400000000000000000e+01,1.750798005000000046e+02
1.960000000000000000e+03,7.673787800000000061e+03,4.800000000000000000e+01,1.747643413999999780e+02
1.959000000000000000e+03,5.579168891099999746e+04,8.300000000000000000e+01,1.741334232000000100e+02
2.003000000000000000e+03,3.862813837000000058e+04,1.900000000000000000e+01,1.738179641000000117e+02
1.950000000000000000e+03,2.524861992199999804e+04,7.900000000000000000e+01,1.728715867999999887e+02
2.010000000000000000e+03,6.967725000000000364e+03,8.400000000000000000e+01,1.728715867999999887e+02
1.998000000000000000e+03,5.053551588000000265e+03,8.700000000000000000e+01,1.725561277000000189e+02
2.013000000000000000e+03,2.932576097999999911e+04,4.800000000000000000e+01,1.719252094999999940e+02
1.962000000000000000e+03,4.261395577899999626e+04,2.300000000000000000e+01,1.712942912999999976e+02
1.911000000000000000e+03,1.016117272199999934e+04,2.900000000000000000e+01,1.706633731000000012e+02
1.991000000000000000e+03,7.372317565000000286e+03,9.200000000000000000e+01,1.697169957999999781e+02
1.990000000000000000e+03,1.230964749999999913e+04,5.400000000000000000e+01,1.690860776000000101e+02
1.929000000000000000e+03,8.472753600000000006e+03,7.000000000000000000e+01,1.690860776000000101e+02
1.925000000000000000e+03,4.782646439999999529e+03,5.400000000000000000e+01,1.684551593999999852e+02
1.968000000000000000e+03,1.619996062499999971e+04,8.600000000000000000e+01,1.684551593999999852e+02
1.926000000000000000e+03,4.548094235900000058e+04,1.700000000000000000e+01,1.671933229999999924e+02
